dataset,player_name,year,year_index,years_active,hands,hands_total,vpip_pct,pfr_pct,three_bet_pct,fold_to_3bet_pct,bb_fold_pct,bb_call_pct,bb_three_bet_pct,cbet_pct,bb100,d_vpip_pct,d_pfr_pct,d_three_bet_pct,d_bb_fold_pct,d_cbet_pct,d_bb100
NL5K,0Human0,2021,11,11,576,91805,24.48,19.44,12.17,45.83,56.79,29.63,13.58,89.58,27.47,-0.6900000000000013,0.9000000000000021,2.3900000000000006,3.9399999999999977,18.569999999999993,28.61
NL5K,19Dan86,2011,1,5,913,16591,19.82,15.01,6.05,61.9,78.83,12.41,8.76,73.47,-27.76,,,,,,
NL5K,19Dan86,2012,2,5,2034,16591,22.37,17.9,8.37,60.38,81.76,13.52,4.72,67.23,40.51,2.5500000000000007,2.889999999999999,2.3199999999999994,2.930000000000007,-6.239999999999995,68.27
NL5K,19Dan86,2013,3,5,4585,16591,23.08,17.19,10.13,64.34,73.96,16.57,9.47,55.15,-13.55,0.7099999999999973,-0.7099999999999973,1.7600000000000016,-7.800000000000011,-12.080000000000005,-54.06
NL5K,19Dan86,2014,4,5,5894,16591,25.23,17.95,7.98,56.38,65.66,26.36,7.98,58.17,-12.5,2.150000000000002,0.759999999999998,-2.1500000000000004,-8.299999999999997,3.020000000000003,1.0500000000000007
NL5K,19Dan86,2015,5,5,3165,16591,24.99,17.5,7.05,49.06,61.28,32.96,5.75,51.2,-1.37,-0.240000000000002,-0.4499999999999993,-0.9300000000000006,-4.3799999999999955,-6.969999999999999,11.129999999999999
NL5K,1nvoker,2015,1,4,16703,44863,25.98,18.81,9.53,47.69,56.88,35.25,7.87,64.53,11.57,,,,,,
NL5K,1nvoker,2016,2,4,14693,44863,24.66,18.08,11.14,49.76,55.43,36.57,8.0,70.52,2.23,-1.3200000000000003,-0.7300000000000004,1.6100000000000012,-1.4500000000000028,5.989999999999995,-9.34
NL5K,1nvoker,2017,3,4,12159,44863,24.36,17.96,9.85,49.2,58.84,32.06,9.11,70.7,4.4,-0.3000000000000007,-0.11999999999999744,-1.290000000000001,3.4100000000000037,0.18000000000000682,2.1700000000000004
NL5K,1nvoker,2018,4,4,1308,44863,23.39,15.75,4.84,67.57,56.74,37.64,5.62,65.91,-8.01,-0.9699999999999989,-2.210000000000001,-5.01,-2.1000000000000014,-4.790000000000006,-12.41
NL5K,2000kg,2019,1,3,1095,4056,22.37,15.25,7.17,56.76,64.74,32.05,3.21,56.06,-10.87,,,,,,
NL5K,2000kg,2020,2,3,2201,4056,25.22,17.49,7.32,60.23,60.0,31.15,8.85,65.38,-7.29,2.849999999999998,2.2399999999999984,0.15000000000000036,-4.739999999999995,9.319999999999993,3.579999999999999
NL5K,2000kg,2021,3,3,760,4056,20.92,13.42,6.35,81.25,66.67,28.95,4.39,57.14,16.68,-4.299999999999997,-4.0699999999999985,-0.9700000000000006,6.670000000000002,-8.239999999999995,23.97
NL5K,26071985,2011,1,6,2488,10023,19.94,15.55,6.89,50.91,79.29,15.68,5.03,70.59,1.37,,,,,,
NL5K,26071985,2012,2,6,1729,10023,25.51,18.28,8.84,66.04,60.85,29.84,9.3,70.59,32.98,5.57,2.7300000000000004,1.9500000000000002,-18.440000000000005,0.0,31.609999999999996
NL5K,26071985,2013,3,6,615,10023,27.8,20.0,7.52,57.89,56.38,38.3,5.32,51.16,31.36,2.289999999999999,1.7199999999999989,-1.3200000000000003,-4.469999999999999,-19.430000000000007,-1.6199999999999974
NL5K,26071985,2014,4,6,2981,10023,25.93,18.28,6.82,47.17,58.99,33.41,7.6,55.87,5.58,-1.870000000000001,-1.7199999999999989,-0.6999999999999993,2.6099999999999994,4.710000000000001,-25.78
NL5K,26071985,2015,5,6,1405,10023,29.25,19.64,7.19,43.48,48.08,44.23,7.69,38.93,-20.56,3.3200000000000003,1.3599999999999994,0.3700000000000001,-10.910000000000004,-16.939999999999998,-26.14
NL5K,26071985,2020,6,6,805,10023,29.07,19.01,7.28,53.33,42.98,50.0,7.02,62.07,13.01,-0.17999999999999972,-0.629999999999999,0.08999999999999986,-5.100000000000001,23.14,33.57
NL5K,4rebmun,2011,1,4,3922,13255,23.87,17.44,7.66,50.77,74.53,17.61,7.86,73.71,2.2,,,,,,
NL5K,4rebmun,2012,2,4,5534,13255,25.23,18.81,8.09,56.28,75.12,18.28,6.6,79.15,-13.28,1.3599999999999994,1.3699999999999974,0.4299999999999997,0.5900000000000034,5.440000000000012,-15.48
NL5K,4rebmun,2013,3,4,2542,13255,24.55,16.84,7.89,46.75,68.09,23.87,8.04,70.2,-5.69,-0.6799999999999997,-1.9699999999999989,-0.20000000000000018,-7.030000000000001,-8.950000000000003,7.589999999999999
NL5K,4rebmun,2014,4,4,1257,13255,27.76,19.49,8.67,63.16,57.59,33.51,8.9,53.91,-25.97,3.210000000000001,2.6499999999999986,0.7800000000000002,-10.5,-16.290000000000006,-20.279999999999998
NL5K,AAFORALIVING,2023,1,3,1021,2165,24.09,17.53,9.92,47.22,63.27,27.89,8.84,62.3,-19.92,,,,,,
NL5K,AAFORALIVING,2024,2,3,603,2165,22.39,15.42,8.47,58.33,62.16,29.73,8.11,50.0,3.82,-1.6999999999999993,-2.110000000000001,-1.4499999999999993,-1.1100000000000065,-12.299999999999997,23.740000000000002
NL5K,AAFORALIVING,2025,3,3,541,2165,25.69,17.38,10.9,27.27,46.67,40.0,13.33,65.52,-9.89,3.3000000000000007,1.959999999999999,2.4299999999999997,-15.489999999999995,15.519999999999996,-13.71
NL5K,AGL_by,2020,1,5,1934,5981,22.03,17.68,6.43,50.72,70.59,22.84,6.57,76.16,20.67,,,,,,
NL5K,AGL_by,2021,2,5,977,5981,23.23,19.14,11.45,62.5,67.18,22.9,9.92,68.18,-9.04,1.1999999999999993,1.4600000000000009,5.02,-3.4099999999999966,-7.97999999999999,-29.71
NL5K,AGL_by,2023,3,5,684,5981,19.01,15.06,8.85,58.82,66.67,23.23,10.1,100.0,31.02,-4.219999999999999,-4.08,-2.5999999999999996,-0.5100000000000051,31.819999999999993,40.06
NL5K,AGL_by,2024,4,5,848,5981,23.35,18.4,10.22,38.71,67.24,27.59,5.17,61.67,25.36,4.34,3.339999999999998,1.370000000000001,0.5699999999999932,-38.33,-5.66
NL5K,AGL_by,2025,5,5,1538,5981,25.94,21.26,15.0,50.0,64.09,24.09,11.82,86.54,-3.48,2.59,2.860000000000003,4.779999999999999,-3.1499999999999915,24.870000000000005,-28.84
NL5K,AK_Durango,2014,1,3,914,2483,22.98,16.63,4.86,82.76,71.76,21.37,6.87,70.18,3.18,,,,,,
NL5K,AK_Durango,2019,2,3,911,2483,21.73,16.58,8.03,64.0,63.41,29.27,7.32,53.85,44.31,-1.25,-0.05000000000000071,3.169999999999999,-8.350000000000009,-16.330000000000005,41.13
NL5K,AK_Durango,2025,3,3,658,2483,24.47,18.84,7.35,68.42,70.0,24.44,5.56,46.43,21.94,2.7399999999999984,2.2600000000000016,-0.6799999999999997,6.590000000000003,-7.420000000000002,-22.37
NL5K,AdvancedFear,2011,1,6,10018,49187,22.81,17.84,6.66,59.6,79.28,14.8,5.92,79.79,2.26,,,,,,
NL5K,AdvancedFear,2012,2,6,8308,49187,22.59,17.37,6.84,61.79,78.13,15.14,6.73,71.15,16.33,-0.21999999999999886,-0.46999999999999886,0.17999999999999972,-1.1500000000000057,-8.64,14.069999999999999
NL5K,AdvancedFear,2013,3,6,16515,49187,23.69,18.22,7.53,60.07,72.23,20.31,7.46,55.59,5.73,1.1000000000000014,0.8499999999999979,0.6900000000000004,-5.8999999999999915,-15.560000000000002,-10.599999999999998
NL5K,AdvancedFear,2014,4,6,10537,49187,25.51,18.1,7.26,50.96,64.25,29.27,6.48,62.6,-3.2,1.8200000000000003,-0.11999999999999744,-0.27000000000000046,-7.980000000000004,7.009999999999998,-8.93
NL5K,AdvancedFear,2015,5,6,2657,49187,25.25,18.52,7.37,50.54,63.4,30.77,5.84,63.64,36.05,-0.26000000000000156,0.41999999999999815,0.11000000000000032,-0.8500000000000014,1.0399999999999991,39.25
NL5K,AdvancedFear,2016,6,6,1152,49187,26.91,18.4,8.3,46.34,59.35,32.26,8.39,70.51,28.84,1.6600000000000001,-0.120000000000001,0.9300000000000006,-4.049999999999997,6.8700000000000045,-7.209999999999997
NL5K,AlexeSsz,2018,1,4,1366,3978,24.01,18.74,8.87,58.14,61.2,32.24,6.56,65.38,22.12,,,,,,
NL5K,AlexeSsz,2019,2,4,914,3978,24.29,17.61,7.85,53.33,56.14,36.84,7.02,67.74,-19.58,0.2799999999999976,-1.129999999999999,-1.0199999999999996,-5.060000000000002,2.3599999999999994,-41.7
NL5K,AlexeSsz,2020,3,4,668,3978,24.1,18.11,11.88,72.22,58.95,30.53,10.53,72.73,4.07,-0.18999999999999773,0.5,4.030000000000001,2.8100000000000023,4.990000000000009,23.65
