dataset,year,btn_bb_opps,btn_bb_fold,btn_bb_call,btn_bb_three_bet,btn_bb_fold_pct,btn_bb_call_pct,btn_bb_three_bet_pct,sb_first_in_opps,sb_raise,sb_limp,sb_fold,sb_raise_pct,sb_limp_pct,sb_fold_pct,bb_defense_opps,bb_fold,bb_call,bb_three_bet,bb_fold_pct,bb_call_pct,bb_three_bet_pct
NL5K,2016,14625,6704,6388,1533,45.84,43.68,10.48,16911,5821,3751,7339,34.42,22.18,43.4,59435,32715,22331,4389,55.04,37.57,7.38
NL5K,2017,18543,8933,7682,1928,48.17,41.43,10.4,21364,7363,5060,8941,34.46,23.68,41.85,75510,42463,27481,5566,56.23,36.39,7.37
NL5K,2018,14789,7296,5958,1535,49.33,40.29,10.38,17636,5811,4247,7578,32.95,24.08,42.97,61137,35130,21559,4448,57.46,35.26,7.28
NL5K,2019,13278,6591,5290,1397,49.64,39.84,10.52,15463,5741,2854,6868,37.13,18.46,44.42,56322,32277,19649,4396,57.31,34.89,7.81
NL5K,2020,13445,6883,5068,1494,51.19,37.69,11.11,17051,6797,2479,7775,39.86,14.54,45.6,58867,34892,19214,4761,59.27,32.64,8.09
NL5K,2021,3147,1600,1193,354,50.84,37.91,11.25,3612,1542,370,1700,42.69,10.24,47.07,13363,7826,4386,1151,58.56,32.82,8.61
NL5K,2022,912,456,358,98,50.0,39.25,10.75,1110,496,85,529,44.68,7.66,47.66,4134,2422,1388,324,58.59,33.58,7.84
NL5K,2023,1709,887,613,209,51.9,35.87,12.23,2443,1123,233,1087,45.97,9.54,44.49,8167,4964,2532,671,60.78,31.0,8.22
NL5K,2024,1817,977,610,230,53.77,33.57,12.66,2399,1090,229,1080,45.44,9.55,45.02,8126,4844,2549,733,59.61,31.37,9.02
NL5K,2025,2647,1415,949,283,53.46,35.85,10.69,3289,1476,275,1538,44.88,8.36,46.76,11687,6872,3836,979,58.8,32.82,8.38
